Longitude,Latitude,x,y,PM25 Annual Ground,PM25 Winter Ground,PM25 Spring Ground,PM25 Summer Ground,PM25 Fall Ground,SO2 Annual Ground,SO2 Winter Ground,SO2 Spring Ground,SO2 Summer Ground,SO2 Fall Ground,NOX Annual Ground,NOX Winter Ground,NOX Spring Ground,NOX Summer Ground,NOX Fall Ground,NH3 Annual Ground,NH3 Winter Ground,NH3 Spring Ground,NH3 Summer Ground,NH3 Fall Ground,PM25 Annual 150m,PM25 Winter 150m,PM25 Spring 150m,PM25 Summer 150m,PM25 Fall 150m,SO2 Annual 150m,SO2 Winter 150m,SO2 Spring 150m,SO2 Summer 150m,SO2 Fall 150m,NOX Annual 150m,NOX Winter 150m,NOX Spring 150m,NOX Summer 150m,NOX Fall 150m,NH3 Annual 150m,NH3 Winter 150m,NH3 Spring 150m,NH3 Summer 150m,NH3 Fall 150m,PM25 Annual 300m,PM25 Winter 300m,PM25 Spring 300m,PM25 Summer 300m,PM25 Fall 300m,SO2 Annual 300m,SO2 Winter 300m,SO2 Spring 300m,SO2 Summer 300m,SO2 Fall 300m,NOX Annual 300m,NOX Winter 300m,NOX Spring 300m,NOX Summer 300m,NOX Fall 300m,NH3 Annual 300m,NH3 Winter 300m,NH3 Spring 300m,NH3 Summer 300m,NH3 Fall 300m
-102.565468,47.933946,65,83,27009.673076,42834.4807827,12609.9208939,13227.0778844,39346.6302206,17313.5934412,28402.8198629,13214.7115341,10792.9223762,16679.936526,4133.97157093,11294.9214606,937.594182837,612.766901689,3601.8463152,14205.0529964,28693.6690448,3847.30985044,2573.27400784,21704.1646085,24729.2250322,42088.9363863,9903.95016048,10409.5087763,36494.6105221,19525.6865733,33181.6908664,12895.8834845,11566.3296502,20058.8965174,4936.89990548,15355.1072857,759.405474495,465.135370737,3105.87127421,18154.4740557,37008.9911497,4757.63304485,3056.26376331,27789.0599009,23894.4216676,40068.3149003,9541.14247559,9957.05426819,35977.7813771,19491.248212,35246.2025491,12854.7484692,10555.6137422,18991.8418305,4566.04060422,14068.2310468,740.214213075,413.761052821,2972.89557182,19807.9257106,38278.1153282,5073.51302347,3522.63600145,32291.0376618
-103.326256,48.399456,64,85,25535.7092059,42173.5046641,11197.1635957,10900.9813445,37857.1397127,18277.8341588,32329.9857466,13059.4373008,10753.0394085,16760.3025536,4310.8232771,12159.5001795,912.513815279,674.835553975,3393.17060775,14301.3173346,28420.7369784,3620.91073936,1867.15896376,23294.3395402,23951.8618761,41959.8026047,8989.13433279,9216.84513792,35623.0838792,20274.3019884,36931.1204014,11892.3778339,11691.9968014,20121.179874,5218.00308876,16786.8884832,709.430604509,524.997594001,2795.58871629,19403.3558398,39193.5843339,4640.47582204,2502.74284656,31265.2903764,23051.727016,39966.9117424,8674.32751217,8934.71233745,34599.7203717,19895.4408963,37984.015578,11954.9387437,10162.2004394,19118.127087,4808.14354196,15271.840104,689.59933881,492.730458982,2710.02227084,21384.3633076,40964.875323,4959.35102568,2965.91861315,36521.055412
-103.32656,48.08026,64,84,25784.3446685,40981.4012513,11506.9150583,12475.7942051,38155.3322507,17443.9251664,29946.8421442,12115.6591592,10779.9335951,16748.5955152,4037.59835075,11251.7381424,783.96330668,610.111018407,3410.05991768,13639.4626402,27001.1318405,3433.46470141,2424.89084901,21697.4774409,23940.685196,40962.7977699,8968.67493134,10050.2873945,35762.1055176,19632.5771075,35131.2947509,11164.9183989,11624.3223029,20144.678177,4942.77577941,15714.5895803,611.562270236,465.114484361,2923.95321052,17897.6265223,36092.6224677,4363.74311201,2950.19168886,28174.6229505,23137.0569555,39115.9501525,8635.50164439,9679.18118254,35085.7597703,19622.7374009,37443.6998936,11210.851759,10322.5174033,19154.0668552,4564.55588077,14363.3797643,600.027167773,424.540519624,2802.90055616,19668.8538545,37703.5987339,4716.10785542,3468.95189655,32702.482247
-102.604803,47.905828,65,83,27009.673076,42834.4807827,12609.9208939,13227.0778844,39346.6302206,17313.5934412,28402.8198629,13214.7115341,10792.9223762,16679.936526,4133.97157093,11294.9214606,937.594182837,612.766901689,3601.8463152,14205.0529964,28693.6690448,3847.30985044,2573.27400784,21704.1646085,24729.2250322,42088.9363863,9903.95016048,10409.5087763,36494.6105221,19525.6865733,33181.6908664,12895.8834845,11566.3296502,20058.8965174,4936.89990548,15355.1072857,759.405474495,465.135370737,3105.87127421,18154.4740557,37008.9911497,4757.63304485,3056.26376331,27789.0599009,23894.4216676,40068.3149003,9541.14247559,9957.05426819,35977.7813771,19491.248212,35246.2025491,12854.7484692,10555.6137422,18991.8418305,4566.04060422,14068.2310468,740.214213075,413.761052821,2972.89557182,19807.9257106,38278.1153282,5073.51302347,3522.63600145,32291.0376618
-102.684764,47.893176,65,83,27009.673076,42834.4807827,12609.9208939,13227.0778844,39346.6302206,17313.5934412,28402.8198629,13214.7115341,10792.9223762,16679.936526,4133.97157093,11294.9214606,937.594182837,612.766901689,3601.8463152,14205.0529964,28693.6690448,3847.30985044,2573.27400784,21704.1646085,24729.2250322,42088.9363863,9903.95016048,10409.5087763,36494.6105221,19525.6865733,33181.6908664,12895.8834845,11566.3296502,20058.8965174,4936.89990548,15355.1072857,759.405474495,465.135370737,3105.87127421,18154.4740557,37008.9911497,4757.63304485,3056.26376331,27789.0599009,23894.4216676,40068.3149003,9541.14247559,9957.05426819,35977.7813771,19491.248212,35246.2025491,12854.7484692,10555.6137422,18991.8418305,4566.04060422,14068.2310468,740.214213075,413.761052821,2972.89557182,19807.9257106,38278.1153282,5073.51302347,3522.63600145,32291.0376618
-103.451984,48.399907,64,85,25535.7092059,42173.5046641,11197.1635957,10900.9813445,37857.1397127,18277.8341588,32329.9857466,13059.4373008,10753.0394085,16760.3025536,4310.8232771,12159.5001795,912.513815279,674.835553975,3393.17060775,14301.3173346,28420.7369784,3620.91073936,1867.15896376,23294.3395402,23951.8618761,41959.8026047,8989.13433279,9216.84513792,35623.0838792,20274.3019884,36931.1204014,11892.3778339,11691.9968014,20121.179874,5218.00308876,16786.8884832,709.430604509,524.997594001,2795.58871629,19403.3558398,39193.5843339,4640.47582204,2502.74284656,31265.2903764,23051.727016,39966.9117424,8674.32751217,8934.71233745,34599.7203717,19895.4408963,37984.015578,11954.9387437,10162.2004394,19118.127087,4808.14354196,15271.840104,689.59933881,492.730458982,2710.02227084,21384.3633076,40964.875323,4959.35102568,2965.91861315,36521.055412
-102.582672,47.830376,65,83,27009.673076,42834.4807827,12609.9208939,13227.0778844,39346.6302206,17313.5934412,28402.8198629,13214.7115341,10792.9223762,16679.936526,4133.97157093,11294.9214606,937.594182837,612.766901689,3601.8463152,14205.0529964,28693.6690448,3847.30985044,2573.27400784,21704.1646085,24729.2250322,42088.9363863,9903.95016048,10409.5087763,36494.6105221,19525.6865733,33181.6908664,12895.8834845,11566.3296502,20058.8965174,4936.89990548,15355.1072857,759.405474495,465.135370737,3105.87127421,18154.4740557,37008.9911497,4757.63304485,3056.26376331,27789.0599009,23894.4216676,40068.3149003,9541.14247559,9957.05426819,35977.7813771,19491.248212,35246.2025491,12854.7484692,10555.6137422,18991.8418305,4566.04060422,14068.2310468,740.214213075,413.761052821,2972.89557182,19807.9257106,38278.1153282,5073.51302347,3522.63600145,32291.0376618
-87.11366,30.961503,103,32,80394.520297,93649.4371719,67390.3127698,67420.9439546,92770.6768679,18115.1608487,23592.2897349,21317.3758433,16823.7339884,10423.7550055,3351.19139903,7431.03180816,3680.51637543,1051.76110229,1189.62428312,45316.7962659,59639.8337356,33465.4245613,41764.0782572,46316.249701,52919.0986868,70701.6928964,38866.6516835,36768.8977547,64939.2481972,18189.6386384,22321.7464134,21398.3962076,17036.7414364,11441.2756188,2521.68927245,5811.82836567,2501.56647541,672.898311302,969.501884154,31827.1804062,44211.3477775,22737.8627931,26061.7796515,34286.2996531,45301.8603548,60374.2333138,35038.4237996,32400.3001001,52998.3326203,17879.074691,21718.1805289,20800.0482578,16879.8410228,11759.4517083,2303.47652793,5163.65516016,2324.81620445,770.113554056,871.226601888,28719.8995116,39246.2987978,20931.7916974,23733.5873726,30890.0236567
-102.932026,47.66332,65,82,26925.4510276,41220.357483,13708.1898964,13625.9259358,39132.3335322,16178.6420963,23664.558771,13419.4508945,10598.8990917,16892.5131554,3932.40930855,10074.6157313,978.024438891,579.247103097,4021.64879992,13335.3561896,26127.6258333,4335.70981135,2411.09514254,20465.8001455,24131.9190467,39401.1339509,10375.568534,10699.2903452,36032.0958754,18328.0087519,27916.0251563,13462.9840083,11479.1318743,20140.9609578,4542.53443635,13264.6698025,806.469229605,465.33968508,3553.85890818,16335.1769263,32190.0421881,4954.0701974,2836.94125581,25355.9604125,23381.7632498,37588.3750486,9918.28407031,10263.7707991,35723.7720077,18349.0076518,29979.221421,13376.3766855,10769.6379597,18989.6407208,4221.23309677,12207.7311167,786.931711674,435.615452156,3374.55968649,17689.3785472,33151.1144593,5185.18630848,3243.84000614,29132.2161623
-102.991974,47.904474,64,83,27081.1246407,44059.4515115,12338.9964523,13143.0706992,38769.2228693,16571.4447945,25899.7226519,12688.2630435,10221.9024624,17322.3186362,4122.456056,11102.0789882,798.793701089,495.999066406,4007.52983706,13973.6440939,28633.2305715,4025.29148158,2590.49463801,20643.8168764,24417.1890389,42004.3416918,9542.41900101,10234.1186793,35868.788492,18461.1438348,29589.9731297,12507.7910201,10921.9729689,20503.2739209,4647.5696892,13922.6505493,653.594519779,401.724161965,3539.84948778,17080.6863123,34820.1023687,4761.60953577,3068.90070528,25669.6175169,23505.8382609,39820.1685646,9176.74464489,9796.95266284,35197.8097936,18073.692264,30295.8031321,12456.8230216,9954.02971327,19309.6901948,4314.65325138,12809.3903687,641.749336822,363.946621954,3367.49542478,18311.7823421,35420.2926177,5018.17652866,3467.35395524,29283.490908
